Energy,Partition
45.06570337745475, 0.9982608695652176
46.58748122824606, 0.7008695652173915
48.16064644578419, 0.4817391304347828
49.786934277733366, 0.38521739130434796
67.1309938682981, 0.351304347826087
84.70023502073342, 0.3382608695652175
102.23871552990255, 0.3356521739130436
136.3375183559743, 0.3382608695652175
179.8074542738763, 0.3382608695652175
247.8738824775339, 0.3382608695652175
334.2246379719874, 0.3356521739130436
492.38826317067367, 0.3382608695652175
701.7038286703822, 0.3382608695652175
988.9909276677213, 0.3382608695652175
1506.206839628278, 0.3356521739130436
2099.4976101348757, 0.3356521739130436
2830.8905385946878, 0.3356521739130436
