Energy,Partition
45.06570337745475, 0.0008695652173911217
46.07459627762565, 0.20000000000000007
47.106075419832784, 0.3539130434782609
49.786934277733366, 0.39565217391304364
55.00277681265242, 0.34608695652173926
62.12540468837267, 0.30173913043478273
70.1703828670383, 0.2730434782608696
80.13941241504929, 0.23913043478260876
114.20689062919996, 0.23652173913043484
159.19267369421578, 0.23913043478260876
231.94478660758202, 0.23913043478260876
403.43096658867853, 0.23913043478260876
741.6385697403579, 0.23913043478260876
1440.9663733354273, 0.23652173913043484
2371.3737056616505, 0.23391304347826092
3093.0334401975933, 0.23652173913043484
